mode,train_window,test_window,n,auc,sem,tstat,pvalue
EEG,early,early,10,0.7236100000000001,0.027279428350152627,8.197019275103283,1.8215241846550237e-05
EEG,early,late,10,0.56331,0.028480587735820656,2.2229176092589413,0.053309584137385124
EEG,late,early,10,0.57411,0.02752286907686446,2.692669859128036,0.024688315822790675
EEG,late,late,10,0.6683,0.034482575309857585,4.880725946008094,0.0008705080338865285
MEG,early,early,10,0.7851600000000001,0.025426823981334706,11.214927991373598,1.3672675251447758e-06
MEG,early,late,10,0.5027499999999999,0.025347948634948745,0.10849004152581909,0.9159872393348141
MEG,late,early,10,0.50142,0.03655942742075336,0.038840870882838226,0.9698651910714295
MEG,late,late,10,0.6501299999999999,0.01864341438685521,8.05270949219747,2.1002610916894465e-05
